TIME,CREATED-AT,PCR,CHG IN OI PCR,VPCR
09:53:02,2026-08-31T00:00:00,0.6568,0.0008,0
09:54:07,2026-08-31T00:00:00,0.6564,-0.0004,0
09:55:13,2026-08-31T00:00:00,0.6488,-0.0076,0
09:56:18,2026-08-31T00:00:00,0.6461,-0.0027,0
09:57:23,2026-08-31T00:00:00,0.6414,-0.0047,0
09:58:28,2026-08-31T00:00:00,0.6281,-0.0133,0
09:59:33,2026-08-31T00:00:00,0.6254,-0.0027,0
10:00:39,2026-08-31T00:00:00,0.625,-0.0004,0
10:01:44,2026-08-31T00:00:00,0.6246,-0.0004,0
10:02:49,2026-08-31T00:00:00,0.6232,-0.0014,0
10:03:54,2026-08-31T00:00:00,0.6261,0.0029,0
10:05:00,2026-08-31T00:00:00,0.6247,-0.0014,0
10:06:05,2026-08-31T00:00:00,0.6269,0.0022,0
10:07:10,2026-08-31T00:00:00,0.6253,-0.0016,0
10:08:15,2026-08-31T00:00:00,0.6252,-0.0001,0
10:09:20,2026-08-31T00:00:00,0.6266,0.0014,0
10:10:26,2026-08-31T00:00:00,0.6311,0.0045,0
10:11:31,2026-08-31T00:00:00,0.64,0.0089,0
10:12:36,2026-08-31T00:00:00,0.6456,0.0056,0
10:13:41,2026-08-31T00:00:00,0.65,0.0044,0
10:14:46,2026-08-31T00:00:00,0.647,-0.003,0
10:15:52,2026-08-31T00:00:00,0.6334,-0.0136,0
10:16:57,2026-08-31T00:00:00,0.6319,-0.0015,0
10:18:02,2026-08-31T00:00:00,0.6321,0.0002,0
10:19:07,2026-08-31T00:00:00,0.6307,-0.0014,0
10:20:13,2026-08-31T00:00:00,0.6328,0.0021,0
10:21:18,2026-08-31T00:00:00,0.6344,0.0016,0
10:22:23,2026-08-31T00:00:00,0.6329,-0.0015,0
10:23:28,2026-08-31T00:00:00,0.6303,-0.0026,0
10:24:33,2026-08-31T00:00:00,0.6274,-0.0029,0
10:25:39,2026-08-31T00:00:00,0.619,-0.0084,0
10:26:44,2026-08-31T00:00:00,0.6144,-0.0046,0
10:27:49,2026-08-31T00:00:00,0.6152,0.0008,0
10:28:54,2026-08-31T00:00:00,0.6167,0.0015,0
10:30:00,2026-08-31T00:00:00,0.6172,0.0005,0
10:31:05,2026-08-31T00:00:00,0.609,-0.0082,0
10:32:10,2026-08-31T00:00:00,0.6105,0.0015,0
10:33:15,2026-08-31T00:00:00,0.6156,0.0051,0
10:34:20,2026-08-31T00:00:00,0.6204,0.0048,0
10:35:26,2026-08-31T00:00:00,0.622,0.0016,0
10:36:31,2026-08-31T00:00:00,0.6262,0.0042,0
10:37:36,2026-08-31T00:00:00,0.6257,-0.0005,0
10:38:41,2026-08-31T00:00:00,0.6273,0.0016,0
10:39:46,2026-08-31T00:00:00,0.6265,-0.0008,0
10:40:52,2026-08-31T00:00:00,0.6228,-0.0037,0
10:41:57,2026-08-31T00:00:00,0.6166,-0.0062,0
10:43:02,2026-08-31T00:00:00,0.6071,-0.0095,0
10:44:07,2026-08-31T00:00:00,0.6024,-0.0047,0
10:45:13,2026-08-31T00:00:00,0.6022,-0.0002,0
10:46:18,2026-08-31T00:00:00,0.601,-0.0012,0
10:47:23,2026-08-31T00:00:00,0.5988,-0.0022,0
10:48:28,2026-08-31T00:00:00,0.5949,-0.0039,0
10:49:33,2026-08-31T00:00:00,0.5897,-0.0052,0
10:50:39,2026-08-31T00:00:00,0.5906,0.0009,0
10:51:44,2026-08-31T00:00:00,0.5918,0.0012,0
10:52:49,2026-08-31T00:00:00,0.5944,0.0026,0
10:53:54,2026-08-31T00:00:00,0.5965,0.0021,0
10:55:00,2026-08-31T00:00:00,0.5968,0.0003,0
10:56:05,2026-08-31T00:00:00,0.5964,-0.0004,0
10:57:10,2026-08-31T00:00:00,0.5985,0.0021,0
10:58:15,2026-08-31T00:00:00,0.5962,-0.0023,0
10:59:20,2026-08-31T00:00:00,0.5953,-0.0009,0
11:00:26,2026-08-31T00:00:00,0.5963,0.001,0
11:01:31,2026-08-31T00:00:00,0.5967,0.0004,0
11:02:36,2026-08-31T00:00:00,0.5954,-0.0013,0
11:03:41,2026-08-31T00:00:00,0.596,0.0006,0
11:04:46,2026-08-31T00:00:00,0.5946,-0.0014,0
11:05:52,2026-08-31T00:00:00,0.5973,0.0027,0
11:06:57,2026-08-31T00:00:00,0.597,-0.0003,0
11:08:02,2026-08-31T00:00:00,0.5945,-0.0025,0
11:09:07,2026-08-31T00:00:00,0.5913,-0.0032,0
11:10:13,2026-08-31T00:00:00,0.5861,-0.0052,0
11:11:18,2026-08-31T00:00:00,0.5857,-0.0004,0
11:12:23,2026-08-31T00:00:00,0.5865,0.0008,0
11:13:28,2026-08-31T00:00:00,0.5824,-0.0041,0
11:14:33,2026-08-31T00:00:00,0.583,0.0006,0
11:15:39,2026-08-31T00:00:00,0.5823,-0.0007,0
11:16:44,2026-08-31T00:00:00,0.5843,0.002,0
11:17:49,2026-08-31T00:00:00,0.5848,0.0005,0
11:18:54,2026-08-31T00:00:00,0.5851,0.0003,0
11:20:00,2026-08-31T00:00:00,0.5849,-0.0002,0
11:21:05,2026-08-31T00:00:00,0.5853,0.0004,0
11:22:10,2026-08-31T00:00:00,0.5852,-0.0001,0
11:23:15,2026-08-31T00:00:00,0.5844,-0.0008,0
11:24:20,2026-08-31T00:00:00,0.5845,0.0001,0
11:25:26,2026-08-31T00:00:00,0.585,0.0005,0
11:26:31,2026-08-31T00:00:00,0.5869,0.0019,0
11:27:36,2026-08-31T00:00:00,0.5871,0.0002,0
11:28:41,2026-08-31T00:00:00,0.5832,-0.0039,0
11:29:46,2026-08-31T00:00:00,0.5831,-0.0001,0
11:30:52,2026-08-31T00:00:00,0.5872,0.0041,0
11:31:57,2026-08-31T00:00:00,0.5867,-0.0005,0
11:33:02,2026-08-31T00:00:00,0.5939,0.0072,0
11:34:07,2026-08-31T00:00:00,0.5958,0.0019,0
11:35:13,2026-08-31T00:00:00,0.5995,0.0037,0
11:36:18,2026-08-31T00:00:00,0.6014,0.0019,0
11:37:23,2026-08-31T00:00:00,0.6048,0.0034,0
11:38:28,2026-08-31T00:00:00,0.6082,0.0034,0
11:39:33,2026-08-31T00:00:00,0.61,0.0018,0
11:40:39,2026-08-31T00:00:00,0.6134,0.0034,0
11:41:44,2026-08-31T00:00:00,0.6173,0.0039,0
11:42:49,2026-08-31T00:00:00,0.6175,0.0002,0
11:43:54,2026-08-31T00:00:00,0.6179,0.0004,0
11:45:00,2026-08-31T00:00:00,0.6226,0.0047,0
11:46:05,2026-08-31T00:00:00,0.63,0.0074,0
11:47:10,2026-08-31T00:00:00,0.6399,0.0099,0
11:48:15,2026-08-31T00:00:00,0.7074,0.0675,0
11:49:20,2026-08-31T00:00:00,0.7385,0.0311,0
11:50:26,2026-08-31T00:00:00,0.7657,0.0272,0
11:51:31,2026-08-31T00:00:00,0.7831,0.0174,0
11:52:36,2026-08-31T00:00:00,0.7912,0.0081,0
11:53:41,2026-08-31T00:00:00,0.7984,0.0072,0
11:54:46,2026-08-31T00:00:00,0.8084,0.01,0
11:55:52,2026-08-31T00:00:00,0.8149,0.0065,0
11:56:57,2026-08-31T00:00:00,0.824,0.0091,0
11:58:02,2026-08-31T00:00:00,0.8296,0.0056,0
11:59:07,2026-08-31T00:00:00,0.8375,0.0079,0
12:00:13,2026-08-31T00:00:00,0.8429,0.0054,0
12:01:18,2026-08-31T00:00:00,0.842,-0.0009,0
12:02:23,2026-08-31T00:00:00,0.8425,0.0005,0
12:03:28,2026-08-31T00:00:00,0.8475,0.005,0
12:04:33,2026-08-31T00:00:00,0.8491,0.0016,0
12:05:39,2026-08-31T00:00:00,0.8502,0.0011,0
12:06:44,2026-08-31T00:00:00,0.849,-0.0012,0
12:07:49,2026-08-31T00:00:00,0.8482,-0.0008,0
12:08:54,2026-08-31T00:00:00,0.8529,0.0047,0
12:10:00,2026-08-31T00:00:00,0.8526,-0.0003,0
12:11:05,2026-08-31T00:00:00,0.8504,-0.0022,0
12:12:10,2026-08-31T00:00:00,0.8505,0.0001,0
12:13:15,2026-08-31T00:00:00,0.852,0.0015,0
12:14:20,2026-08-31T00:00:00,0.8539,0.0019,0
12:15:26,2026-08-31T00:00:00,0.8512,-0.0027,0
12:16:31,2026-08-31T00:00:00,0.8558,0.0046,0
12:17:36,2026-08-31T00:00:00,0.8578,0.002,0
12:18:41,2026-08-31T00:00:00,0.862,0.0042,0
12:19:46,2026-08-31T00:00:00,0.8665,0.0045,0
12:20:52,2026-08-31T00:00:00,0.8694,0.0029,0
12:21:57,2026-08-31T00:00:00,0.8731,0.0037,0
12:23:02,2026-08-31T00:00:00,0.8742,0.0011,0
12:24:07,2026-08-31T00:00:00,0.872,-0.0022,0
12:25:13,2026-08-31T00:00:00,0.873,0.001,0
12:26:18,2026-08-31T00:00:00,0.8721,-0.0009,0
12:27:23,2026-08-31T00:00:00,0.8728,0.0007,0
12:28:28,2026-08-31T00:00:00,0.8741,0.0013,0
12:29:33,2026-08-31T00:00:00,0.8737,-0.0004,0
12:30:39,2026-08-31T00:00:00,0.876,0.0023,0
12:31:44,2026-08-31T00:00:00,0.8762,0.0002,0
12:32:49,2026-08-31T00:00:00,0.8749,-0.0013,0
12:33:54,2026-08-31T00:00:00,0.8745,-0.0004,0
12:35:00,2026-08-31T00:00:00,0.881,0.0065,0
12:36:05,2026-08-31T00:00:00,0.8849,0.0039,0
12:37:10,2026-08-31T00:00:00,0.8857,0.0008,0
12:38:15,2026-08-31T00:00:00,0.8846,-0.0011,0
12:39:20,2026-08-31T00:00:00,0.8848,0.0002,0
12:40:26,2026-08-31T00:00:00,0.8847,-0.0001,0
12:41:31,2026-08-31T00:00:00,0.8826,-0.0021,0
12:42:36,2026-08-31T00:00:00,0.8853,0.0027,0
12:43:41,2026-08-31T00:00:00,0.8834,-0.0019,0
12:44:46,2026-08-31T00:00:00,0.8831,-0.0003,0
12:45:52,2026-08-31T00:00:00,0.8838,0.0007,0
12:46:57,2026-08-31T00:00:00,0.8845,0.0007,0
12:48:02,2026-08-31T00:00:00,0.8854,0.0009,0
12:49:07,2026-08-31T00:00:00,0.8852,-0.0002,0
12:50:13,2026-08-31T00:00:00,0.8904,0.0052,0
12:51:18,2026-08-31T00:00:00,0.8914,0.001,0
12:52:23,2026-08-31T00:00:00,0.8928,0.0014,0
12:53:28,2026-08-31T00:00:00,0.8926,-0.0002,0
12:54:33,2026-08-31T00:00:00,0.8919,-0.0007,0
12:55:39,2026-08-31T00:00:00,0.8886,-0.0033,0
12:56:44,2026-08-31T00:00:00,0.8863,-0.0023,0
12:57:49,2026-08-31T00:00:00,0.8888,0.0025,0
12:58:54,2026-08-31T00:00:00,0.89,0.0012,0
13:00:00,2026-08-31T00:00:00,0.8915,0.0015,0
13:01:05,2026-08-31T00:00:00,0.8937,0.0022,0
13:02:10,2026-08-31T00:00:00,0.8961,0.0024,0
13:03:15,2026-08-31T00:00:00,0.8966,0.0005,0
13:04:20,2026-08-31T00:00:00,0.8958,-0.0008,0
13:05:26,2026-08-31T00:00:00,0.8909,-0.0049,0
13:06:31,2026-08-31T00:00:00,0.8912,0.0003,0
13:07:36,2026-08-31T00:00:00,0.8933,0.0021,0
13:08:41,2026-08-31T00:00:00,0.8977,0.0044,0
13:09:46,2026-08-31T00:00:00,0.9049,0.0072,0
13:10:52,2026-08-31T00:00:00,0.9051,0.0002,0
13:11:57,2026-08-31T00:00:00,0.9061,0.001,0
13:13:02,2026-08-31T00:00:00,0.9039,-0.0022,0
13:14:07,2026-08-31T00:00:00,0.9026,-0.0013,0
13:15:13,2026-08-31T00:00:00,0.9007,-0.0019,0
13:16:18,2026-08-31T00:00:00,0.8956,-0.0051,0
13:17:23,2026-08-31T00:00:00,0.893,-0.0026,0
13:18:28,2026-08-31T00:00:00,0.8921,-0.0009,0
13:19:33,2026-08-31T00:00:00,0.8925,0.0004,0
13:20:39,2026-08-31T00:00:00,0.8938,0.0013,0
13:21:44,2026-08-31T00:00:00,0.8959,0.0021,0
13:22:49,2026-08-31T00:00:00,0.8943,-0.0016,0
13:23:54,2026-08-31T00:00:00,0.891,-0.0033,0
13:25:00,2026-08-31T00:00:00,0.8918,0.0008,0
13:26:05,2026-08-31T00:00:00,0.9016,0.0098,0
13:27:10,2026-08-31T00:00:00,0.905,0.0034,0
13:28:15,2026-08-31T00:00:00,0.9005,-0.0045,0
13:29:20,2026-08-31T00:00:00,0.9018,0.0013,0
13:30:26,2026-08-31T00:00:00,0.8992,-0.0026,0
13:31:31,2026-08-31T00:00:00,0.9053,0.0061,0
13:32:36,2026-08-31T00:00:00,0.9076,0.0023,0
13:33:41,2026-08-31T00:00:00,0.9048,-0.0028,0
13:34:46,2026-08-31T00:00:00,0.9022,-0.0026,0
13:35:52,2026-08-31T00:00:00,0.9028,0.0006,0
13:36:57,2026-08-31T00:00:00,0.9074,0.0046,0
13:38:02,2026-08-31T00:00:00,0.9104,0.003,0
13:39:07,2026-08-31T00:00:00,0.9153,0.0049,0
13:40:13,2026-08-31T00:00:00,0.9192,0.0039,0
13:41:18,2026-08-31T00:00:00,0.9209,0.0017,0
13:42:23,2026-08-31T00:00:00,0.9224,0.0015,0
13:43:28,2026-08-31T00:00:00,0.9231,0.0007,0
13:44:33,2026-08-31T00:00:00,0.9266,0.0035,0
13:45:39,2026-08-31T00:00:00,0.924,-0.0026,0
13:46:44,2026-08-31T00:00:00,0.9225,-0.0015,0
13:47:49,2026-08-31T00:00:00,0.9207,-0.0018,0
13:48:54,2026-08-31T00:00:00,0.9191,-0.0016,0
13:50:00,2026-08-31T00:00:00,0.9167,-0.0024,0
13:51:05,2026-08-31T00:00:00,0.9138,-0.0029,0
13:52:10,2026-08-31T00:00:00,0.9204,0.0066,0
13:53:15,2026-08-31T00:00:00,0.925,0.0046,0
13:54:20,2026-08-31T00:00:00,0.9232,-0.0018,0
13:55:26,2026-08-31T00:00:00,0.9197,-0.0035,0
13:56:31,2026-08-31T00:00:00,0.9052,-0.0145,0
13:57:36,2026-08-31T00:00:00,0.8981,-0.0071,0
13:58:41,2026-08-31T00:00:00,0.8927,-0.0054,0
13:59:46,2026-08-31T00:00:00,0.8879,-0.0048,0
14:00:52,2026-08-31T00:00:00,0.8822,-0.0057,0
14:01:57,2026-08-31T00:00:00,0.8811,-0.0011,0
14:03:02,2026-08-31T00:00:00,0.8841,0.003,0
14:04:07,2026-08-31T00:00:00,0.8774,-0.0067,0
14:05:13,2026-08-31T00:00:00,0.8791,0.0017,0
14:06:18,2026-08-31T00:00:00,0.8781,-0.001,0
14:07:23,2026-08-31T00:00:00,0.8765,-0.0016,0
14:08:28,2026-08-31T00:00:00,0.8772,0.0007,0
14:09:33,2026-08-31T00:00:00,0.877,-0.0002,0
14:10:39,2026-08-31T00:00:00,0.8655,-0.0115,0
14:11:44,2026-08-31T00:00:00,0.8662,0.0007,0
14:12:49,2026-08-31T00:00:00,0.8668,0.0006,0
14:13:54,2026-08-31T00:00:00,0.8669,0.0001,0
14:15:00,2026-08-31T00:00:00,0.8634,-0.0035,0
14:16:05,2026-08-31T00:00:00,0.864,0.0006,0
14:17:10,2026-08-31T00:00:00,0.858,-0.006,0
14:18:15,2026-08-31T00:00:00,0.86,0.002,0
14:19:20,2026-08-31T00:00:00,0.8562,-0.0038,0
14:20:26,2026-08-31T00:00:00,0.8525,-0.0037,0
14:21:31,2026-08-31T00:00:00,0.8452,-0.0073,0
14:22:36,2026-08-31T00:00:00,0.8432,-0.002,0
14:23:41,2026-08-31T00:00:00,0.8374,-0.0058,0
14:24:46,2026-08-31T00:00:00,0.8319,-0.0055,0
14:25:52,2026-08-31T00:00:00,0.8305,-0.0014,0
14:26:57,2026-08-31T00:00:00,0.8276,-0.0029,0
14:28:02,2026-08-31T00:00:00,0.8249,-0.0027,0
14:29:07,2026-08-31T00:00:00,0.8274,0.0025,0
14:30:13,2026-08-31T00:00:00,0.8232,-0.0042,0
14:31:18,2026-08-31T00:00:00,0.8225,-0.0007,0
14:32:23,2026-08-31T00:00:00,0.8213,-0.0012,0
14:33:28,2026-08-31T00:00:00,0.8097,-0.0116,0
14:34:33,2026-08-31T00:00:00,0.8025,-0.0072,0
14:35:39,2026-08-31T00:00:00,0.8034,0.0009,0
14:36:44,2026-08-31T00:00:00,0.8014,-0.002,0
14:37:49,2026-08-31T00:00:00,0.8074,0.006,0
14:38:54,2026-08-31T00:00:00,0.8198,0.0124,0
14:40:00,2026-08-31T00:00:00,0.8896,0.0698,0
14:41:05,2026-08-31T00:00:00,0.9004,0.0108,0
14:42:10,2026-08-31T00:00:00,0.9081,0.0077,0
14:43:15,2026-08-31T00:00:00,0.9075,-0.0006,0
14:44:20,2026-08-31T00:00:00,0.9084,0.0009,0
14:45:26,2026-08-31T00:00:00,0.9189,0.0105,0
14:46:31,2026-08-31T00:00:00,0.9283,0.0094,0
14:47:36,2026-08-31T00:00:00,0.9353,0.007,0
14:48:41,2026-08-31T00:00:00,0.9447,0.0094,0
14:49:46,2026-08-31T00:00:00,0.9476,0.0029,0
14:50:52,2026-08-31T00:00:00,0.9472,-0.0004,0
14:51:57,2026-08-31T00:00:00,0.9521,0.0049,0
14:53:02,2026-08-31T00:00:00,0.9483,-0.0038,0
14:54:07,2026-08-31T00:00:00,0.9482,-0.0001,0
14:55:13,2026-08-31T00:00:00,0.9451,-0.0031,0
14:56:18,2026-08-31T00:00:00,0.9442,-0.0009,0
14:57:23,2026-08-31T00:00:00,0.9376,-0.0066,0
14:58:28,2026-08-31T00:00:00,0.9311,-0.0065,0
14:59:33,2026-08-31T00:00:00,0.931,-0.0001,0
15:00:39,2026-08-31T00:00:00,0.9141,-0.0169,0
15:01:44,2026-08-31T00:00:00,0.9097,-0.0044,0
15:02:49,2026-08-31T00:00:00,0.9045,-0.0052,0
15:03:54,2026-08-31T00:00:00,0.9089,0.0044,0
15:05:00,2026-08-31T00:00:00,0.909,0.0001,0
15:06:05,2026-08-31T00:00:00,0.911,0.002,0
15:07:10,2026-08-31T00:00:00,0.9082,-0.0028,0
15:08:15,2026-08-31T00:00:00,0.907,-0.0012,0
15:09:20,2026-08-31T00:00:00,0.9043,-0.0027,0
15:10:26,2026-08-31T00:00:00,0.8887,-0.0156,0
15:11:31,2026-08-31T00:00:00,0.8702,-0.0185,0
15:12:36,2026-08-31T00:00:00,0.8653,-0.0049,0
15:13:41,2026-08-31T00:00:00,0.8606,-0.0047,0
15:14:46,2026-08-31T00:00:00,0.8637,0.0031,0
15:15:52,2026-08-31T00:00:00,0.8612,-0.0025,0
15:16:57,2026-08-31T00:00:00,0.8503,-0.0109,0
15:18:02,2026-08-31T00:00:00,0.8467,-0.0036,0
15:19:07,2026-08-31T00:00:00,0.8437,-0.003,0
15:20:13,2026-08-31T00:00:00,0.8381,-0.0056,0
15:21:18,2026-08-31T00:00:00,0.8301,-0.008,0
15:22:23,2026-08-31T00:00:00,0.8295,-0.0006,0
15:23:28,2026-08-31T00:00:00,0.8286,-0.0009,0
15:24:33,2026-08-31T00:00:00,0.8265,-0.0021,0
15:25:39,2026-08-31T00:00:00,0.823,-0.0035,0
15:26:44,2026-08-31T00:00:00,0.8172,-0.0058,0
15:27:49,2026-08-31T00:00:00,0.8187,0.0015,0
15:28:54,2026-08-31T00:00:00,0.8147,-0.004,0
15:30:00,2026-08-31T00:00:00,0.8095,-0.0052,0
