Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
20-MAR-2026,23110.15,23345.15,23067.6,23114.5,663300,0
23-MAR-2026,22824.35,22851.7,22471.25,22512.65,550300,0
24-MAR-2026,22878.45,23057.3,22624.2,22912.4,538100,0
25-MAR-2026,23064.4,23465.35,23063.2,23306.45,505400,0
27-MAR-2026,23173.55,23186.1,22804.55,22819.6,612600,0
30-MAR-2026,22549.65,22714.1,22283.85,22331.4,698600,0
01-APR-2026,22899.0,22941.3,22618.6,22679.4,518000,0
02-APR-2026,22383.4,22782.3,22182.55,22713.1,495100,0
06-APR-2026,22780.3,22998.35,22542.95,22968.25,426400,0
07-APR-2026,22838.7,23153.85,22719.3,23123.65,477000,0
08-APR-2026,23855.15,24025.15,23828.5,23997.35,639300,0
09-APR-2026,23909.05,23990.75,23682.8,23775.1,466600,0
10-APR-2026,23880.55,24074.05,23856.35,24050.6,481300,0
13-APR-2026,23589.6,23907.4,23555.6,23842.65,488800,0
15-APR-2026,24163.8,24280.9,24145.8,24231.3,460300,0
16-APR-2026,24385.2,24400.95,24102.8,24196.75,508000,0
17-APR-2026,24165.9,24371.9,24096.05,24353.55,498600,0
20-APR-2026,24391.5,24480.65,24241.25,24364.85,415900,0
21-APR-2026,24374.55,24601.7,24354.9,24576.6,425800,0
22-APR-2026,24470.85,24515.95,24352.9,24378.1,440500,0
23-APR-2026,24202.35,24310.2,24134.8,24173.05,467500,0
24-APR-2026,24100.55,24206.0,23813.65,23897.95,438400,0
27-APR-2026,23945.45,24130.7,23936.2,24092.7,430300,0
28-APR-2026,24049.9,24181.8,23957.05,23995.7,554100,0
29-APR-2026,24096.9,24334.7,24059.95,24177.65,531100,0
30-APR-2026,23996.95,24087.45,23796.85,23997.55,505500,0
04-MAY-2026,24063.55,24290.2,24004.75,24119.3,419100,0
05-MAY-2026,24052.6,24081.7,23882.05,24032.8,363300,0
06-MAY-2026,24171.0,24356.5,23997.9,24330.95,429200,0
07-MAY-2026,24398.5,24482.1,24284.0,24326.65,440600,0
08-MAY-2026,24233.65,24253.8,24126.65,24176.15,335900,0
11-MAY-2026,23970.1,23997.45,23799.1,23815.85,390100,0
12-MAY-2026,23722.6,23757.55,23348.4,23379.55,447500,0
13-MAY-2026,23362.45,23582.95,23262.55,23412.6,415400,0
14-MAY-2026,23530.25,23777.2,23426.55,23689.6,428700,0
15-MAY-2026,23731.4,23839.3,23610.3,23643.5,408900,0
18-MAY-2026,23482.2,23695.65,23317.1,23649.95,392000,0
19-MAY-2026,23675.3,23782.3,23587.2,23618.0,442000,0
20-MAY-2026,23457.25,23690.9,23397.3,23659.0,344100,0
21-MAY-2026,23830.05,23859.9,23596.6,23654.7,348200,0
22-MAY-2026,23671.2,23835.65,23671.0,23719.3,336100,0
25-MAY-2026,23940.25,24054.45,23922.85,24031.7,351200,0
26-MAY-2026,24004.1,24089.8,23885.45,23913.7,387900,0
27-MAY-2026,23880.35,23983.2,23858.25,23907.15,531600,0
29-MAY-2026,23902.15,24002.8,23484.75,23547.75,1198000,0
01-JUN-2026,23654.5,23733.7,23357.95,23382.6,421700,0
02-JUN-2026,23229.15,23556.95,23229.15,23483.55,511900,0
03-JUN-2026,23415.95,23459.65,23151.5,23405.6,450100,0
04-JUN-2026,23282.45,23465.3,23247.3,23416.55,412500,0
05-JUN-2026,23478.95,23516.35,23282.65,23366.7,366200,0
08-JUN-2026,23080.7,23267.3,23070.15,23123.0,375700,0
09-JUN-2026,23259.05,23279.4,23104.45,23242.1,402600,0
10-JUN-2026,23233.95,23425.35,23184.6,23214.95,380000,0
11-JUN-2026,23104.4,23327.45,23072.05,23161.6,363000,0
12-JUN-2026,23412.55,23645.35,23313.9,23622.9,351900,0
15-JUN-2026,23984.85,24011.4,23817.8,23853.9,398900,0
16-JUN-2026,23923.9,24002.6,23888.2,23989.15,327300,0
17-JUN-2026,24044.5,24108.2,23969.7,24085.7,352700,0
18-JUN-2026,24073.8,24189.25,24036.95,24168.0,340000,0
19-JUN-2026,23991.2,24047.2,23901.9,24013.1,447900,0
22-JUN-2026,24106.6,24168.05,24073.15,24102.9,252800,0
23-JUN-2026,24071.3,24135.5,23784.95,23824.1,340100,0
24-JUN-2026,23795.8,24090.05,23789.25,24021.65,395600,0
25-JUN-2026,24125.85,24261.6,24039.0,24056.0,448800,0
29-JUN-2026,24061.75,24120.0,23924.55,23946.25,588500,0
30-JUN-2026,24032.05,24035.55,23829.2,23865.75,449000,0
01-JUL-2026,23897.65,24049.9,23895.1,24005.85,352100,0
02-JUL-2026,24062.2,24194.55,24058.8,24175.7,372900,0
03-JUL-2026,24375.65,24378.15,24252.35,24270.85,326600,0
06-JUL-2026,24306.85,24458.65,24287.1,24430.35,329400,0
07-JUL-2026,24464.45,24530.9,24348.95,24398.7,412600,0
08-JUL-2026,24259.55,24300.0,23805.2,23882.05,420500,0
09-JUL-2026,23928.95,24134.7,23925.7,23962.8,384800,0
10-JUL-2026,24124.7,24228.45,24120.35,24206.9,313100,0
13-JUL-2026,24039.4,24259.8,24000.2,24211.0,322700,0
14-JUL-2026,24068.0,24157.1,24023.7,24052.05,355800,0
15-JUL-2026,24085.85,24220.35,24010.55,24078.5,306900,0
16-JUL-2026,24142.1,24186.5,24050.0,24072.75,264300,0
17-JUL-2026,24127.6,24367.3,24099.05,24334.3,387800,0
20-JUL-2026,24190.05,24266.1,24135.85,24238.5,353100,0
21-JUL-2026,24216.05,24262.2,24135.65,24187.7,315600,0
22-JUL-2026,24150.45,24166.3,23961.4,23996.25,304700,0
23-JUL-2026,23904.8,23990.75,23807.2,23869.6,344000,0
24-JUL-2026,23666.35,23823.6,23606.3,23767.45,333900,0
27-JUL-2026,23928.4,24011.6,23891.55,23995.95,319400,0
28-JUL-2026,23971.25,24041.15,23954.6,23985.35,437800,0
29-JUL-2026,24176.65,24283.55,24136.75,24250.2,424200,0
30-JUL-2026,24249.55,24342.95,24187.1,24317.15,400600,0
31-JUL-2026,24361.45,24429.4,24299.7,24383.6,411700,0
03-AUG-2026,24572.7,24774.3,24515.15,24774.3,342300,0
04-AUG-2026,24703.9,24703.9,24427.95,24614.9,296500,0
05-AUG-2026,24669.2,24677.6,24497.95,24624.65,355500,0
06-AUG-2026,24641.0,24677.05,24604.15,24636.0,344000,0
07-AUG-2026,24538.9,24630.4,24522.75,24570.65,254800,0
10-AUG-2026,24581.25,24620.95,24511.1,24583.8,269500,0
11-AUG-2026,24575.1,24576.85,24429.25,24471.7,271800,0
12-AUG-2026,24472.45,24473.3,24265.95,24435.95,317600,0
13-AUG-2026,24431.6,24431.6,24311.4,24395.85,295800,0
14-AUG-2026,24361.9,24405.2,24296.8,24366.0,267700,0
17-AUG-2026,24343.45,24360.1,24226.95,24287.65,225400,0
18-AUG-2026,24223.85,24269.65,24154.9,24154.9,227000,0
19-AUG-2026,24152.05,24172.85,24025.65,24078.3,238700,0
20-AUG-2026,24225.45,24265.15,24184.55,24231.85,253900,0
21-AUG-2026,24284.05,24284.05,24206.8,24252.0,259300,0
24-AUG-2026,24285.05,24313.0,24144.3,24219.05,236300,0
25-AUG-2026,24175.75,24334.55,24115.45,24334.55,239500,0
26-AUG-2026,24341.95,24378.6,24207.75,24207.75,244800,0
27-AUG-2026,24277.6,24297.45,24090.85,24090.85,323400,0
28-AUG-2026,24122.6,24188.3,24076.85,24175.65,296100,0
31-AUG-2026,24117.55,24128.7,23993.6,24080.4,0,0
