exchange,exchange_token,trading_symbol,groww_symbol,name,instrument_type,segment,series,isin,underlying_symbol,underlying_exchange_token,expiry_date,strike_price,lot_size,tick_size,freeze_quantity,is_reserved,buy_allowed,sell_allowed,internal_trading_symbol,is_intraday
NSE,77770,360ONE26SEP1520CE,NSE-360ONE-29Sep26-1520-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1520,500,0.05,20001,1,1,1,360ONE26SEP1520CE,0
NSE,65250,360ONE26JUL1240CE,NSE-360ONE-28Jul26-1240-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1240,500,0.05,20001,0,1,1,360ONE26JUL1240CE,0
NSE,36724,151NSETEST36DECFUT,NSE-151NSETEST-27Nov36-FUT,,FUT,FNO,,,151NSETEST,14782,2036-11-27,-0.01,50,0.05,100001,0,1,1,151NSETEST36DECFUT,0
NSE,38076,360ONE26AUG1600PE,NSE-360ONE-25Aug26-1600-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1600,500,0.05,20001,1,1,1,360ONE26AUG1600PE,0
NSE,36718,121NSETEST36DECFUT,NSE-121NSETEST-27Nov36-FUT,,FUT,FNO,,,121NSETEST,14777,2036-11-27,-0.01,50,0.05,100001,0,1,1,121NSETEST36DECFUT,0
NSE,66731,360ONE26JUL1300CE,NSE-360ONE-28Jul26-1300-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1300,500,0.05,20001,1,1,1,360ONE26JUL1300CE,0
NSE,66852,360ONE26AUG1480CE,NSE-360ONE-25Aug26-1480-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1480,500,0.05,20001,1,1,1,360ONE26AUG1480CE,0
NSE,65228,360ONE26JUL920CE,NSE-360ONE-28Jul26-920-CE,,CE,FNO,,,360ONE,13061,2026-07-28,920,500,0.05,20001,0,1,1,360ONE26JUL920CE,0
NSE,66777,360ONE26AUG640PE,NSE-360ONE-25Aug26-640-PE,,PE,FNO,,,360ONE,13061,2026-08-25,640,500,0.05,20001,1,1,1,360ONE26AUG640PE,0
NSE,38080,360ONE26SEP1600PE,NSE-360ONE-29Sep26-1600-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1600,500,0.05,20001,1,1,1,360ONE26SEP1600PE,0
NSE,77673,360ONE26SEP1120PE,NSE-360ONE-29Sep26-1120-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1120,500,0.05,20001,0,1,1,360ONE26SEP1120PE,0
NSE,41292,360ONE26JUL600PE,NSE-360ONE-28Jul26-600-PE,,PE,FNO,,,360ONE,13061,2026-07-28,600,500,0.05,20001,1,1,1,360ONE26JUL600PE,0
NSE,77375,360ONE26AUG1260PE,NSE-360ONE-25Aug26-1260-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1260,500,0.05,20001,0,1,1,360ONE26AUG1260PE,0
NSE,65249,360ONE26JUL1200PE,NSE-360ONE-28Jul26-1200-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1200,500,0.05,20001,0,1,1,360ONE26JUL1200PE,0
NSE,66811,360ONE26AUG920PE,NSE-360ONE-25Aug26-920-PE,,PE,FNO,,,360ONE,13061,2026-08-25,920,500,0.05,20001,0,1,1,360ONE26AUG920PE,0
NSE,66709,360ONE26JUL860CE,NSE-360ONE-28Jul26-860-CE,,CE,FNO,,,360ONE,13061,2026-07-28,860,500,0.05,20001,1,1,1,360ONE26JUL860CE,0
NSE,66845,360ONE26AUG1320PE,NSE-360ONE-25Aug26-1320-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1320,500,0.05,20001,0,1,1,360ONE26AUG1320PE,0
NSE,65207,360ONE26JUL640CE,NSE-360ONE-28Jul26-640-CE,,CE,FNO,,,360ONE,13061,2026-07-28,640,500,0.05,20001,1,1,1,360ONE26JUL640CE,0
NSE,66838,360ONE26AUG1200CE,NSE-360ONE-25Aug26-1200-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1200,500,0.05,20001,0,1,1,360ONE26AUG1200CE,0
NSE,65241,360ONE26JUL1120PE,NSE-360ONE-28Jul26-1120-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1120,500,0.05,20001,0,1,1,360ONE26JUL1120PE,0
NSE,65221,360ONE26JUL760PE,NSE-360ONE-28Jul26-760-PE,,PE,FNO,,,360ONE,13061,2026-07-28,760,500,0.05,20001,1,1,1,360ONE26JUL760PE,0
NSE,38072,360ONE26JUL1600PE,NSE-360ONE-28Jul26-1600-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1600,500,0.05,20001,1,1,1,360ONE26JUL1600PE,0
NSE,66708,360ONE26JUL820PE,NSE-360ONE-28Jul26-820-PE,,PE,FNO,,,360ONE,13061,2026-07-28,820,500,0.05,20001,1,1,1,360ONE26JUL820PE,0
NSE,35108,360ONE26JUL700CE,NSE-360ONE-28Jul26-700-CE,,CE,FNO,,,360ONE,13061,2026-07-28,700,500,0.05,20001,1,1,1,360ONE26JUL700CE,0
NSE,77349,360ONE26AUG860PE,NSE-360ONE-25Aug26-860-PE,,PE,FNO,,,360ONE,13061,2026-08-25,860,500,0.05,20001,1,1,1,360ONE26AUG860PE,0
NSE,66824,360ONE26AUG1080CE,NSE-360ONE-25Aug26-1080-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1080,500,0.05,20001,0,1,1,360ONE26AUG1080CE,0
NSE,66812,360ONE26AUG960CE,NSE-360ONE-25Aug26-960-CE,,CE,FNO,,,360ONE,13061,2026-08-25,960,500,0.05,20001,0,1,1,360ONE26AUG960CE,0
NSE,45817,360ONE26JUL1480PE,NSE-360ONE-28Jul26-1480-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1480,500,0.05,20001,1,1,1,360ONE26JUL1480PE,0
NSE,65246,360ONE26JUL1160CE,NSE-360ONE-28Jul26-1160-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1160,500,0.05,20001,0,1,1,360ONE26JUL1160CE,0
NSE,77675,360ONE26SEP1160CE,NSE-360ONE-29Sep26-1160-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1160,500,0.05,20001,0,1,1,360ONE26SEP1160CE,0
NSE,77367,360ONE26AUG1140CE,NSE-360ONE-25Aug26-1140-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1140,500,0.05,20001,0,1,1,360ONE26AUG1140CE,0
NSE,66720,360ONE26JUL1060PE,NSE-360ONE-28Jul26-1060-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1060,500,0.05,20001,0,1,1,360ONE26JUL1060PE,0
NSE,41319,360ONE26JUL1640CE,NSE-360ONE-28Jul26-1640-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1640,500,0.05,20001,1,1,1,360ONE26JUL1640CE,0
NSE,38078,360ONE26SEP1480PE,NSE-360ONE-29Sep26-1480-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1480,500,0.05,20001,1,1,1,360ONE26SEP1480PE,0
NSE,66727,360ONE26JUL1220CE,NSE-360ONE-28Jul26-1220-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1220,500,0.05,20001,0,1,1,360ONE26JUL1220CE,0
NSE,38073,360ONE26AUG1460CE,NSE-360ONE-25Aug26-1460-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1460,500,0.05,20001,1,1,1,360ONE26AUG1460CE,0
NSE,77350,360ONE26AUG900CE,NSE-360ONE-25Aug26-900-CE,,CE,FNO,,,360ONE,13061,2026-08-25,900,500,0.05,20001,1,1,1,360ONE26AUG900CE,0
NSE,66713,360ONE26JUL940CE,NSE-360ONE-28Jul26-940-CE,,CE,FNO,,,360ONE,13061,2026-07-28,940,500,0.05,20001,0,1,1,360ONE26JUL940CE,0
NSE,77680,360ONE26SEP1240CE,NSE-360ONE-29Sep26-1240-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1240,500,0.05,20001,0,1,1,360ONE26SEP1240CE,0
NSE,77371,360ONE26AUG1180PE,NSE-360ONE-25Aug26-1180-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1180,500,0.05,20001,0,1,1,360ONE26AUG1180PE,0
NSE,66841,360ONE26AUG1240PE,NSE-360ONE-25Aug26-1240-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1240,500,0.05,20001,0,1,1,360ONE26AUG1240PE,0
NSE,77270,360ONE26AUG780CE,NSE-360ONE-25Aug26-780-CE,,CE,FNO,,,360ONE,13061,2026-08-25,780,500,0.05,20001,1,1,1,360ONE26AUG780CE,0
NSE,77678,360ONE26SEP1200PE,NSE-360ONE-29Sep26-1200-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1200,500,0.05,20001,0,1,1,360ONE26SEP1200PE,0
NSE,65213,360ONE26JUL720PE,NSE-360ONE-28Jul26-720-PE,,PE,FNO,,,360ONE,13061,2026-07-28,720,500,0.05,20001,1,1,1,360ONE26JUL720PE,0
NSE,48576,171NSETEST36NOVFUT,NSE-171NSETEST-27Nov36-FUT,,FUT,FNO,,,171NSETEST,23446,2036-11-27,-0.01,50,0.05,100001,0,1,1,171NSETEST36NOVFUT,0
NSE,65226,360ONE26JUL880CE,NSE-360ONE-28Jul26-880-CE,,CE,FNO,,,360ONE,13061,2026-07-28,880,500,0.05,20001,1,1,1,360ONE26JUL880CE,0
NSE,66724,360ONE26JUL1140PE,NSE-360ONE-28Jul26-1140-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1140,500,0.05,20001,0,1,1,360ONE26JUL1140PE,0
NSE,41294,360ONE26JUL780PE,NSE-360ONE-28Jul26-780-PE,,PE,FNO,,,360ONE,13061,2026-07-28,780,500,0.05,20001,1,1,1,360ONE26JUL780PE,0
NSE,77771,360ONE26SEP1520PE,NSE-360ONE-29Sep26-1520-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1520,500,0.05,20001,1,1,1,360ONE26SEP1520PE,0
NSE,77377,360ONE26AUG1300PE,NSE-360ONE-25Aug26-1300-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1300,500,0.05,20001,1,1,1,360ONE26AUG1300PE,0
NSE,66752,360ONE26JUL1560CE,NSE-360ONE-28Jul26-1560-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1560,500,0.05,20001,1,1,1,360ONE26JUL1560CE,0
NSE,65225,360ONE26JUL840PE,NSE-360ONE-28Jul26-840-PE,,PE,FNO,,,360ONE,13061,2026-07-28,840,500,0.05,20001,1,1,1,360ONE26JUL840PE,0
NSE,46370,360ONE26AUG680PE,NSE-360ONE-25Aug26-680-PE,,PE,FNO,,,360ONE,13061,2026-08-25,680,500,0.05,20001,1,1,1,360ONE26AUG680PE,0
NSE,41324,360ONE26AUG1640CE,NSE-360ONE-25Aug26-1640-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1640,500,0.05,20001,1,1,1,360ONE26AUG1640CE,0
NSE,66785,360ONE26AUG800PE,NSE-360ONE-25Aug26-800-PE,,PE,FNO,,,360ONE,13061,2026-08-25,800,500,0.05,20001,1,1,1,360ONE26AUG800PE,0
NSE,77387,360ONE26SEP560CE,NSE-360ONE-29Sep26-560-CE,,CE,FNO,,,360ONE,13061,2026-09-29,560,500,0.05,20001,1,1,1,360ONE26SEP560CE,0
NSE,77363,360ONE26AUG1060CE,NSE-360ONE-25Aug26-1060-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1060,500,0.05,20001,0,1,1,360ONE26AUG1060CE,0
NSE,66712,360ONE26JUL900PE,NSE-360ONE-28Jul26-900-PE,,PE,FNO,,,360ONE,13061,2026-07-28,900,500,0.05,20001,1,1,1,360ONE26JUL900PE,0
NSE,38070,360ONE26JUL1460PE,NSE-360ONE-28Jul26-1460-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1460,500,0.05,20001,1,1,1,360ONE26JUL1460PE,0
NSE,65265,360ONE26JUL1520PE,NSE-360ONE-28Jul26-1520-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1520,500,0.05,20001,1,1,1,360ONE26JUL1520PE,0
NSE,65239,360ONE26JUL1080PE,NSE-360ONE-28Jul26-1080-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1080,500,0.05,20001,0,1,1,360ONE26JUL1080PE,0
NSE,65252,360ONE26JUL1280CE,NSE-360ONE-28Jul26-1280-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1280,500,0.05,20001,0,1,1,360ONE26JUL1280CE,0
NSE,77670,360ONE26SEP1080PE,NSE-360ONE-29Sep26-1080-PE,,PE,FNO,,,360ONE,13061,2026-09-29,1080,500,0.05,20001,0,1,1,360ONE26SEP1080PE,0
NSE,66826,360ONE26AUG1120CE,NSE-360ONE-25Aug26-1120-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1120,500,0.05,20001,0,1,1,360ONE26AUG1120CE,0
NSE,77155,360ONE26AUG740PE,NSE-360ONE-25Aug26-740-PE,,PE,FNO,,,360ONE,13061,2026-08-25,740,500,0.05,20001,1,1,1,360ONE26AUG740PE,0
NSE,66786,360ONE26AUG840CE,NSE-360ONE-25Aug26-840-CE,,CE,FNO,,,360ONE,13061,2026-08-25,840,500,0.05,20001,1,1,1,360ONE26AUG840CE,0
NSE,77671,360ONE26SEP1120CE,NSE-360ONE-29Sep26-1120-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1120,500,0.05,20001,0,1,1,360ONE26SEP1120CE,0
NSE,66725,360ONE26JUL1180CE,NSE-360ONE-28Jul26-1180-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1180,500,0.05,20001,0,1,1,360ONE26JUL1180CE,0
NSE,77361,360ONE26AUG1020CE,NSE-360ONE-25Aug26-1020-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1020,500,0.05,20001,0,1,1,360ONE26AUG1020CE,0
NSE,77391,360ONE26SEP720CE,NSE-360ONE-29Sep26-720-CE,,CE,FNO,,,360ONE,13061,2026-09-29,720,500,0.05,20001,1,1,1,360ONE26SEP720CE,0
NSE,65220,360ONE26JUL760CE,NSE-360ONE-28Jul26-760-CE,,CE,FNO,,,360ONE,13061,2026-07-28,760,500,0.05,20001,1,1,1,360ONE26JUL760CE,0
NSE,36690,021NSETEST36DECFUT,NSE-021NSETEST-27Nov36-FUT,,FUT,FNO,,,021NSETEST,14751,2036-11-27,-0.01,50,0.05,100001,0,1,1,021NSETEST36DECFUT,0
NSE,77376,360ONE26AUG1300CE,NSE-360ONE-25Aug26-1300-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1300,500,0.05,20001,1,1,1,360ONE26AUG1300CE,0
NSE,36697,051NSETEST36DECFUT,NSE-051NSETEST-27Nov36-FUT,,FUT,FNO,,,051NSETEST,14758,2036-11-27,-0.01,50,0.05,100001,0,1,1,051NSETEST36DECFUT,0
NSE,66732,360ONE26JUL1300PE,NSE-360ONE-28Jul26-1300-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1300,500,0.05,20001,1,1,1,360ONE26JUL1300PE,0
NSE,65260,360ONE26JUL1400CE,NSE-360ONE-28Jul26-1400-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1400,500,0.05,20001,1,1,1,360ONE26JUL1400CE,0
NSE,65251,360ONE26JUL1240PE,NSE-360ONE-28Jul26-1240-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1240,500,0.05,20001,0,1,1,360ONE26JUL1240PE,0
NSE,66733,360ONE26JUL1340CE,NSE-360ONE-28Jul26-1340-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1340,500,0.05,20001,1,1,1,360ONE26JUL1340CE,0
NSE,41325,360ONE26AUG1640PE,NSE-360ONE-25Aug26-1640-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1640,500,0.05,20001,1,1,1,360ONE26AUG1640PE,0
NSE,36709,081NSETEST36DECFUT,NSE-081NSETEST-27Nov36-FUT,,FUT,FNO,,,081NSETEST,14767,2036-11-27,-0.01,50,0.05,100001,0,1,1,081NSETEST36DECFUT,0
NSE,66819,360ONE26AUG960PE,NSE-360ONE-25Aug26-960-PE,,PE,FNO,,,360ONE,13061,2026-08-25,960,500,0.05,20001,0,1,1,360ONE26AUG960PE,0
NSE,66707,360ONE26JUL820CE,NSE-360ONE-28Jul26-820-CE,,CE,FNO,,,360ONE,13061,2026-07-28,820,500,0.05,20001,1,1,1,360ONE26JUL820CE,0
NSE,77370,360ONE26AUG1180CE,NSE-360ONE-25Aug26-1180-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1180,500,0.05,20001,0,1,1,360ONE26AUG1180CE,0
NSE,41323,360ONE26JUL1640PE,NSE-360ONE-28Jul26-1640-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1640,500,0.05,20001,1,1,1,360ONE26JUL1640PE,0
NSE,58074,360ONE26AUGFUT,NSE-360ONE-25Aug26-FUT,,FUT,FNO,,,360ONE,13061,2026-08-25,-0.01,500,0.1,20001,0,1,1,360ONE26AUGFUT,0
NSE,36716,111NSETEST36DECFUT,NSE-111NSETEST-27Nov36-FUT,,FUT,FNO,,,111NSETEST,14774,2036-11-27,-0.01,50,0.05,100001,0,1,1,111NSETEST36DECFUT,0
NSE,41291,360ONE26JUL600CE,NSE-360ONE-28Jul26-600-CE,,CE,FNO,,,360ONE,13061,2026-07-28,600,500,0.05,20001,1,1,1,360ONE26JUL600CE,0
NSE,66840,360ONE26AUG1240CE,NSE-360ONE-25Aug26-1240-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1240,500,0.05,20001,0,1,1,360ONE26AUG1240CE,0
NSE,36721,141NSETEST36DECFUT,NSE-141NSETEST-27Nov36-FUT,,FUT,FNO,,,141NSETEST,14781,2036-11-27,-0.01,50,0.05,100001,0,1,1,141NSETEST36DECFUT,0
NSE,66847,360ONE26AUG1360PE,NSE-360ONE-25Aug26-1360-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1360,500,0.05,20001,1,1,1,360ONE26AUG1360PE,0
NSE,66778,360ONE26AUG720CE,NSE-360ONE-25Aug26-720-CE,,CE,FNO,,,360ONE,13061,2026-08-25,720,500,0.05,20001,1,1,1,360ONE26AUG720CE,0
NSE,77726,360ONE26SEP1400CE,NSE-360ONE-29Sep26-1400-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1400,500,0.05,20001,1,1,1,360ONE26SEP1400CE,0
NSE,66718,360ONE26JUL1020PE,NSE-360ONE-28Jul26-1020-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1020,500,0.05,20001,0,1,1,360ONE26JUL1020PE,0
NSE,65240,360ONE26JUL1120CE,NSE-360ONE-28Jul26-1120-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1120,500,0.05,20001,0,1,1,360ONE26JUL1120CE,0
NSE,77384,360ONE26AUG1420PE,NSE-360ONE-25Aug26-1420-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1420,500,0.05,20001,1,1,1,360ONE26AUG1420PE,0
NSE,66854,360ONE26AUG1520CE,NSE-360ONE-25Aug26-1520-CE,,CE,FNO,,,360ONE,13061,2026-08-25,1520,500,0.05,20001,1,1,1,360ONE26AUG1520CE,0
NSE,66788,360ONE26AUG880CE,NSE-360ONE-25Aug26-880-CE,,CE,FNO,,,360ONE,13061,2026-08-25,880,500,0.05,20001,1,1,1,360ONE26AUG880CE,0
NSE,66729,360ONE26JUL1260CE,NSE-360ONE-28Jul26-1260-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1260,500,0.05,20001,0,1,1,360ONE26JUL1260CE,0
NSE,66855,360ONE26AUG1520PE,NSE-360ONE-25Aug26-1520-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1520,500,0.05,20001,1,1,1,360ONE26AUG1520PE,0
NSE,77357,360ONE26AUG940CE,NSE-360ONE-25Aug26-940-CE,,CE,FNO,,,360ONE,13061,2026-08-25,940,500,0.05,20001,0,1,1,360ONE26AUG940CE,0
NSE,77677,360ONE26SEP1200CE,NSE-360ONE-29Sep26-1200-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1200,500,0.05,20001,0,1,1,360ONE26SEP1200CE,0
NSE,66711,360ONE26JUL900CE,NSE-360ONE-28Jul26-900-CE,,CE,FNO,,,360ONE,13061,2026-07-28,900,500,0.05,20001,1,1,1,360ONE26JUL900CE,0
NSE,77669,360ONE26SEP1080CE,NSE-360ONE-29Sep26-1080-CE,,CE,FNO,,,360ONE,13061,2026-09-29,1080,500,0.05,20001,0,1,1,360ONE26SEP1080CE,0
NSE,41293,360ONE26JUL780CE,NSE-360ONE-28Jul26-780-CE,,CE,FNO,,,360ONE,13061,2026-07-28,780,500,0.05,20001,1,1,1,360ONE26JUL780CE,0
NSE,77352,360ONE26AUG900PE,NSE-360ONE-25Aug26-900-PE,,PE,FNO,,,360ONE,13061,2026-08-25,900,500,0.05,20001,1,1,1,360ONE26AUG900PE,0
NSE,65254,360ONE26JUL1320CE,NSE-360ONE-28Jul26-1320-CE,,CE,FNO,,,360ONE,13061,2026-07-28,1320,500,0.05,20001,0,1,1,360ONE26JUL1320CE,0
NSE,66843,360ONE26AUG1280PE,NSE-360ONE-25Aug26-1280-PE,,PE,FNO,,,360ONE,13061,2026-08-25,1280,500,0.05,20001,0,1,1,360ONE26AUG1280PE,0
NSE,66728,360ONE26JUL1220PE,NSE-360ONE-28Jul26-1220-PE,,PE,FNO,,,360ONE,13061,2026-07-28,1220,500,0.05,20001,0,1,1,360ONE26JUL1220PE,0
NSE,65224,360ONE26JUL840CE,NSE-360ONE-28Jul26-840-CE,,CE,FNO,,,360ONE,13061,2026-07-28,840,500,0.05,20001,1,1,1,360ONE26JUL840CE,0
